column_name,description,type,format,example
subject,unique participant ID,string,unique string (random number sequence for adult experiments; incremental numbering for children),Crossact1_p101
experiment_name,name of the experiment in the paper,string,Experiment 1; Experiment 2; Experiment 3; Experiment S1,Experiment 1
version,experiment version ,string,adults1A corresponds to Exp 1; adults1B corresponds to replication (S1); kids2A corresponds to Exp 2; kids 2B corresponds to Exp 3,kids2A
age_group,whether the participants are adults or children,string,adults; kids,kids
ambiguity_condition,condition variable denoting how ambiguity was manipulated,string,ambiguous corresponds to the cross-situational manipulation of ambiguity; partially ambiguous is the condition in the replication where manipulated items are somewhat disambiguated; ambiguous_me corresponds to the mutual exclusivity manipulation in Exp 3,ambiguous
trialType,"type of trial (familiarization or not; experiment phase: learning, selection, test)",string,"familiarization phases: fam-learning, fam-selection (corresponds to sampling phase), fam-test; experimental phases: learning, selection, test, familiarItem-test (in Exp 3, testing the familiar items from training)",selection
trialIndex,trial number,numeric,ranges: 1-36 (Exp 1); 1-44 (Exp S1); 1-29 (Exp 2); 1-27 (Exp 3),1
trialNum,"trial number, indexed by experiment phase (e.g., learning trials are numbered starting at 1)",numeric,re-indexed by trialType,1
testHalf,only applies to Exp S1 (adult replication): indicates whether test was before or after sampling phase,numeric,1 or 2,1
label1,"on learning trials, the first label presented",string,label,penguin
label2,"on learning trials, the second label presented",string,label,cow
location1,"on learning trials, the location of image1",string,left or right,left
location2,"on learning trials, the location of image2",string,left or right,right
image1,"on learning trials, one of the two images presented",string,format has path to stimulus from experiment implementation,stims/penguin.png
image2,"on learning trials, one of the two images presented",string,format has path to stimulus from experiment implementation,stims/cow.png
image3,"on test or selection trials, one of the images available to select",string,format has path to stimulus from experiment implementation,stims/dog.png
image4,"on test or selection trials, one of the images available to select",string,format has path to stimulus from experiment implementation,stims/monkey.png
image5,"on test or selection trials, one of the images available to select",string,format has path to stimulus from experiment implementation,stims/pig.png
image6,"on test or selection trials, one of the images available to select",string,format has path to stimulus from experiment implementation,stims/dog.png
image7,"on test or selection trials, one of the images available to select",string,format has path to stimulus from experiment implementation,stims/1.png
image8,"on test or selection trials, one of the images available to select",string,format has path to stimulus from experiment implementation,stims/2.png
High1,image belonging to the group of (fully) ambiguous items (numbering is arbitrary),string,format has path to stimulus from experiment implementation,stims/1.png
High2,image belonging to the group of (fully) ambiguous items (numbering is arbitrary),string,format has path to stimulus from experiment implementation,stims/2.png
High3,image belonging to the group of (fully) ambiguous items (numbering is arbitrary),string,format has path to stimulus from experiment implementation,stims/3.png
High4,image belonging to the group of (fully) ambiguous items (numbering is arbitrary),string,format has path to stimulus from experiment implementation,stims/4.png
Medium1,in Experiment S1: image belonging to the group of partially ambiguous items (numbering is arbitrary),string,format has path to stimulus from experiment implementation,stims/1.png
Medium2,in Experiment S1: image belonging to the group of partially ambiguous items (numbering is arbitrary),string,format has path to stimulus from experiment implementation,stims/2.png
Medium3,in Experiment S1: image belonging to the group of partially ambiguous items (numbering is arbitrary),string,format has path to stimulus from experiment implementation,stims/3.png
Medium4,in Experiment S1: image belonging to the group of partially ambiguous items (numbering is arbitrary),string,format has path to stimulus from experiment implementation,stims/4.png
Low1,image belonging to the group of disambiguated items (numbering is arbitrary),string,format has path to stimulus from experiment implementation,stims/1.png
Low2,image belonging to the group of disambiguated items (numbering is arbitrary),string,format has path to stimulus from experiment implementation,stims/2.png
Low3,image belonging to the group of disambiguated items (numbering is arbitrary),string,format has path to stimulus from experiment implementation,stims/3.png
Low4,image belonging to the group of disambiguated items (numbering is arbitrary),string,format has path to stimulus from experiment implementation,stims/4.png
choice,"index of selected image (corresponds to image1-image8, indexed from 0-7) (adult experiments: Sampling Phase; child experiments: Sampling and Test Phase)",numeric,index from 0 (~ image1) to 7 (~ image8),0
choiceImage,the image/ item selected by the participant,string,format has path to stimulus from experiment implementation,stims/penguin.png
randomChoice,"Sampling Phase in adults experiments (Exp 1 and S1): index of selected image (corresponds to image1-image8, indexed from 0-7)",numeric,index from 0 (~ image1) to 7 (~ image8),0
randomImage,on selection trials in adult studies: the image/ item selected at random to pair with the selected image during the Sampling Phase,string,format has path to stimulus from experiment implementation,stims/1.png
learningLocationChoice,Sampling Phase: where the selected image appears,string,in adult experiments: left or right; in child experiments: center,right
learningLocationRandom,Sampling Phase in adults experiments (Exp 1 and S1): where the randomly paired image appears,string,left or right,left
choiceLabel,Label of the image chosen by the participant (on sampling and test trials),string,label,zeevo
randomLabel,on selection trials in adult studies: the label for the image/ item selected at random to pair with the selected image during the Sampling Phase,string,label,beppo
label,target label on test trials (adult experiments),string,label,noopy
targetLabel,unique identifier for the target label on test trials,string,format has path to stimulus from experiment implementation,stims/find_penguin.m4a
targetLocation,index of location of target stimulus (adult experiments),numeric,index from 0 (~top left) to 7 (~bottom right),0
targetImage,On test trials: the target/ correct image,string,format has path to stimulus from experiment implementation,stims/1.png
